Date,High,Low,Open,Close,Volume,Adj Close
2018-07-02,24319.419921875,24077.560546875,24161.529296875,24307.1796875,244110000,24307.1796875
2018-07-03,24444.880859375,24150.849609375,24359.390625,24174.8203125,160960000,24174.8203125
2018-07-05,24372.80078125,24177.439453125,24285.8203125,24356.740234375,237670000,24356.740234375
2018-07-06,24520.2890625,24281.470703125,24352.470703125,24456.48046875,219450000,24456.48046875
2018-07-09,24796.51953125,24518.4296875,24519.19921875,24776.58984375,240580000,24776.58984375
2018-07-10,24945.380859375,24806.970703125,24806.970703125,24919.66015625,235040000,24919.66015625
2018-07-11,24815.16015625,24663.8203125,24789.48046875,24700.44921875,237370000,24700.44921875
2018-07-12,24939.970703125,24802.900390625,24802.900390625,24924.890625,233150000,24924.890625
2018-07-13,25043.2109375,24890.060546875,24926.0703125,25019.41015625,255520000,25019.41015625
2018-07-16,25072.41015625,24979.640625,25025.580078125,25064.359375,231270000,25064.359375
2018-07-17,25155.390625,24989.609375,25033.919921875,25119.890625,250450000,25119.890625
2018-07-18,25215.3203125,25101.119140625,25133.7890625,25199.2890625,252870000,25199.2890625
2018-07-19,25154.169921875,25052.619140625,25139.150390625,25064.5,285760000,25064.5
2018-07-20,25124.099609375,24986.349609375,25041.140625,25058.119140625,274080000,25058.119140625
2018-07-23,25081.44921875,24983.330078125,25036.900390625,25044.2890625,228820000,25044.2890625
2018-07-24,25286.619140625,25092.4296875,25092.4296875,25241.939453125,274940000,25241.939453125
2018-07-25,25432.869140625,25113.55078125,25183.69921875,25414.099609375,273670000,25414.099609375
2018-07-26,25587.240234375,25463.16015625,25468.55078125,25527.0703125,297530000,25527.0703125
2018-07-27,25580.220703125,25370.0703125,25520.51953125,25451.060546875,329680000,25451.060546875
2018-07-30,25500.16015625,25287.380859375,25439.3203125,25306.830078125,296880000,25306.830078125
2018-07-31,25490.98046875,25345.2109375,25345.2109375,25415.189453125,348700000,25415.189453125
2018-08-01,25488.80078125,25278.3203125,25461.630859375,25333.8203125,315880000,25333.8203125
2018-08-02,25360.48046875,25120.0703125,25256.44921875,25326.16015625,307700000,25326.16015625
2018-08-03,25467.900390625,25325.169921875,25360.369140625,25462.580078125,239020000,25462.580078125
2018-08-06,25540.01953125,25381.380859375,25437.4296875,25502.1796875,238990000,25502.1796875
2018-08-07,25692.720703125,25551.650390625,25551.650390625,25628.91015625,239910000,25628.91015625
2018-08-08,25634.109375,25557.48046875,25615.720703125,25583.75,217770000,25583.75
2018-08-09,25613.310546875,25492.689453125,25589.7890625,25509.23046875,214970000,25509.23046875
2018-08-10,25401.189453125,25222.880859375,25401.189453125,25313.140625,234480000,25313.140625
2018-08-13,25381.390625,25153.9296875,25327.189453125,25187.69921875,219990000,25187.69921875
2018-08-14,25339.509765625,25201.869140625,25215.689453125,25299.919921875,219210000,25299.919921875
2018-08-15,25235.369140625,24965.76953125,25235.369140625,25162.41015625,295810000,25162.41015625
